onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
300.716	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.825	blue	2.0	cue_stay	magnitude	stay	s603	0
304.169	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.531	orange	3.0	task_switch	color	switch	s603	0
306.41	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.639	blue	4.0	cue_switch	color	stay	s603	0
308.518	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.838	orange	1.0	cue_switch	color	stay	s603	0
311.425	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.444	blue	1.0	task_switch	magnitude	switch	s603	0
313.532	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	1.236	orange	4.0	task_switch	color	switch	s603	0
316.435	1.0	0.9	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.586	orange	8.0	cue_stay	color	stay	s603	0
318.677	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	1.046	orange	2.0	cue_stay	color	stay	s603	0
321.585	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.708	blue	8.0	task_switch	magnitude	switch	s603	0
324.492	1.0	0.9	False	89.0	Orange-Blue	n/a	twobytwo	71.0	0.965	blue	4.0	task_switch	color	switch	s603	0
326.601	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.098	orange	8.0	task_switch	magnitude	switch	s603	0
328.846	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.884	blue	1.0	task_switch	color	switch	s603	0
331.892	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.961	blue	2.0	cue_switch	color	stay	s603	0
334.931	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.91	blue	7.0	task_switch	magnitude	switch	s603	0
337.971	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.86	blue	3.0	cue_stay	magnitude	stay	s603	0
340.758	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	1.281	blue	9.0	cue_stay	magnitude	stay	s603	0
344.214	1.0	0.9	True	71.0	High-Low	stay	twobytwo	71.0	0.606	blue	7.0	cue_stay	magnitude	stay	s603	0
346.593	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.736	orange	7.0	cue_switch	magnitude	stay	s603	0
349.769	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.683	orange	4.0	task_switch	color	switch	s603	0
352.281	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	1.299	blue	1.0	task_switch	magnitude	switch	s603	0
354.529	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.761	blue	7.0	cue_stay	magnitude	stay	s603	0
357.706	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.551	blue	8.0	cue_stay	magnitude	stay	s603	0
359.811	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.818	orange	3.0	task_switch	color	switch	s603	0
362.052	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.082	orange	7.0	task_switch	magnitude	switch	s603	0
365.233	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.922	orange	4.0	cue_stay	magnitude	stay	s603	0
367.342	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.998	orange	3.0	task_switch	color	switch	s603	0
370.929	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.891	blue	9.0	cue_switch	color	stay	s603	0
373.036	1.0	0.1	False	89.0	Magnitude	n/a	twobytwo	71.0	1.284	orange	3.0	task_switch	magnitude	switch	s603	0
375.942	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.787	orange	8.0	cue_stay	magnitude	stay	s603	0
378.846	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	1.232	orange	8.0	cue_switch	magnitude	stay	s603	0
381.228	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	1.168	orange	7.0	cue_stay	magnitude	stay	s603	0
383.334	1.0	0.1	False	89.0	Orange-Blue	n/a	twobytwo	71.0	1.041	blue	8.0	task_switch	color	switch	s603	0
386.241	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.756	orange	7.0	task_switch	magnitude	switch	s603	0
389.145	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.846	blue	7.0	cue_switch	magnitude	stay	s603	0
392.732	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.755	orange	7.0	task_switch	color	switch	s603	0
394.841	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.208	orange	4.0	task_switch	magnitude	switch	s603	0
397.886	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.535	blue	1.0	cue_stay	magnitude	stay	s603	0
400.403	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	1.104	orange	3.0	task_switch	color	switch	s603	0
403.446	1.0	0.9	False	71.0	Color	stay	twobytwo	89.0	0.747	orange	7.0	cue_stay	color	stay	s603	0
406.358	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.327	blue	1.0	cue_switch	color	stay	s603	0
408.465	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.682	blue	1.0	cue_stay	color	stay	s603	0
411.113	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	1.323	orange	3.0	cue_stay	color	stay	s603	0
